; CSV, generated by DSView, sampled on 2025-08-30 21:34:11
; Channels (3/16)
; Sample rate: 100 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2
2.399e-05,0,0,0
2.414e-05,1,0,0
2.419e-05,0,0,0
2.434e-05,1,0,0
2.439e-05,0,0,0
2.454e-05,1,0,0
2.459e-05,0,0,0
2.473e-05,1,0,0
2.478e-05,0,0,0
2.494e-05,1,0,0
2.499e-05,0,0,0
2.514e-05,1,0,0
2.519e-05,0,0,0
2.534e-05,1,0,0
2.539e-05,0,0,0
2.554e-05,1,0,0
2.559e-05,0,0,0
2.574e-05,1,0,0
2.579e-05,0,0,0
2.594e-05,1,0,0
2.599e-05,0,0,0
2.614e-05,1,0,0
2.619e-05,0,0,0
2.634e-05,1,0,0
2.639e-05,0,0,0
2.655e-05,1,0,0
2.659e-05,0,0,0
2.675e-05,1,0,0
2.679e-05,0,0,0
2.694e-05,1,0,0
2.699e-05,0,0,0
2.714e-05,1,0,0
2.719e-05,0,0,0
2.734e-05,1,0,0
2.739e-05,0,0,0
2.754e-05,1,0,0
2.759e-05,0,0,0
2.774e-05,1,0,0
2.779e-05,0,0,0
2.794e-05,1,0,0
2.799e-05,0,0,0
2.814e-05,1,0,0
2.819e-05,0,0,0
2.834e-05,1,0,0
2.839e-05,0,0,0
2.854e-05,1,0,0
2.859e-05,0,0,0
2.874e-05,1,0,0
2.879e-05,0,0,0
2.894e-05,1,0,0
2.899e-05,0,0,0
2.914e-05,1,0,0
2.919e-05,0,0,0
2.934e-05,1,0,0
2.939e-05,0,0,0
2.954e-05,1,0,0
2.959e-05,0,0,0
2.974e-05,1,0,0
2.979e-05,0,0,0
2.994e-05,1,0,0
2.999e-05,0,0,0
3.015e-05,1,0,0
3.019e-05,0,0,0
3.034e-05,1,0,0
3.039e-05,0,0,0
3.054e-05,1,0,0
3.059e-05,0,0,0
3.074e-05,1,0,0
3.079e-05,0,0,0
3.094e-05,1,0,0
3.099e-05,0,0,0
3.115e-05,1,0,0
3.119e-05,0,0,0
3.134e-05,1,0,0
3.139e-05,0,0,0
3.154e-05,1,0,0
3.159e-05,0,0,0
3.174e-05,1,0,0
3.179e-05,0,0,0
3.194e-05,1,0,0
3.199e-05,0,0,0
3.214e-05,1,0,0
3.219e-05,0,0,0
3.234e-05,1,0,0
3.239e-05,0,0,0
3.255e-05,1,0,0
3.259e-05,0,0,0
3.275e-05,1,0,0
3.279e-05,0,0,0
3.295e-05,1,0,0
3.299e-05,0,0,0
3.315e-05,1,0,0
3.319e-05,0,0,0
3.335e-05,1,0,0
3.339e-05,0,0,0
3.354e-05,1,0,0
3.359e-05,0,0,0
3.374e-05,1,0,0
3.379e-05,0,0,0
3.394e-05,1,0,0
3.399e-05,0,0,0
3.414e-05,1,0,0
3.419e-05,0,0,0
3.435e-05,1,0,0
3.439e-05,0,0,0
3.455e-05,1,0,0
3.459e-05,0,0,0
3.475e-05,1,0,0
3.479e-05,0,0,0
3.494e-05,1,0,0
3.499e-05,0,0,0
3.514e-05,1,0,0
3.519e-05,0,0,0
3.535e-05,1,0,0
3.539e-05,0,0,0
3.555e-05,1,0,0
3.559e-05,0,0,0
3.574e-05,1,0,0
3.579e-05,0,0,0
3.594e-05,1,0,0
3.599e-05,0,0,0
3.614e-05,1,0,0
3.619e-05,0,0,0
3.635e-05,1,0,0
3.639e-05,0,0,0
3.655e-05,1,0,0
3.659e-05,0,0,0
3.674e-05,1,0,0
3.679e-05,0,0,0
3.694e-05,1,0,0
3.699e-05,0,0,0
3.714e-05,1,0,0
3.718e-05,0,0,0
3.734e-05,1,0,0
3.739e-05,0,0,0
3.754e-05,1,0,0
3.759e-05,0,0,0
3.774e-05,1,0,0
3.779e-05,0,0,0
3.795e-05,1,0,0
3.799e-05,0,0,0
3.815e-05,1,0,0
3.819e-05,0,0,0
3.834e-05,1,0,0
3.839e-05,0,0,0
3.854e-05,1,0,0
3.859e-05,0,0,0
3.874e-05,1,0,0
3.879e-05,0,0,0
3.895e-05,1,0,0
3.899e-05,0,0,0
3.915e-05,1,0,0
3.919e-05,0,0,0
3.934e-05,1,0,0
3.939e-05,0,0,0
3.954e-05,1,0,0
3.959e-05,0,0,0
3.974e-05,1,0,0
3.979e-05,0,0,0
3.994e-05,1,0,0
3.999e-05,0,0,0
4.014e-05,1,0,0
4.019e-05,0,0,0
4.034e-05,1,0,0
4.039e-05,0,0,0
4.055e-05,1,0,0
4.059e-05,0,0,0
4.075e-05,1,0,0
4.079e-05,0,0,0
4.094e-05,1,0,0
4.099e-05,0,0,0
4.114e-05,1,0,0
4.119e-05,0,0,0
4.134e-05,1,0,0
4.139e-05,0,0,0
4.154e-05,1,0,0
4.159e-05,0,0,0
4.175e-05,1,0,0
4.179e-05,0,0,0
4.195e-05,1,0,0
4.199e-05,0,0,0
4.214e-05,1,0,0
4.219e-05,0,0,0
4.234e-05,1,0,0
4.239e-05,0,0,0
4.254e-05,1,0,0
4.259e-05,0,0,0
4.274e-05,1,0,0
4.279e-05,0,0,0
4.295e-05,1,0,0
4.299e-05,0,0,0
4.315e-05,1,0,0
4.319e-05,0,0,0
4.335e-05,1,0,0
4.34e-05,0,0,0
4.355e-05,1,0,0
4.36e-05,0,0,0
4.374e-05,1,0,0
4.379e-05,0,0,0
4.394e-05,1,0,0
4.399e-05,0,0,0
4.414e-05,1,0,0
4.419e-05,0,0,0
4.434e-05,1,0,0
4.439e-05,0,0,0
4.455e-05,1,0,0
4.46e-05,0,0,0
4.475e-05,1,0,0
4.479e-05,0,0,0
4.495e-05,1,0,0
4.499e-05,0,0,0
4.515e-05,1,0,0
4.519e-05,0,0,0
4.534e-05,1,0,0
4.539e-05,0,0,0
4.554e-05,1,0,0
4.559e-05,0,0,0
4.575e-05,1,0,0
4.579e-05,0,0,0
4.595e-05,1,0,0
4.599e-05,0,0,0
